id,user_message,ai_response,helpfulness,accuracy,coherence,tone,overall,reasoning
tc_001,"What is the difference between deep learning and machine learning?","Machine learning is a subset of AI where systems learn from data to make decisions. Deep learning is a subset of machine learning that uses neural networks with many layers to model complex patterns. While ML works well with structured data deep learning excels at unstructured data like images and text.",5,5,5,5,5,"Excellent response. Clearly explains both concepts and their relationship with practical examples."
tc_002,"My code keeps throwing a null pointer exception. How do I fix it?","Have you tried turning it off and on again?",1,1,2,2,1,"Completely unhelpful. Dismissive response that provides no technical guidance whatsoever."
tc_003,"Explain quantum entanglement in simple terms.","Quantum entanglement is like having two magic coins. When you flip one and it lands heads the other instantly lands tails no matter how far apart they are. Einstein called this spooky action at a distance. In reality particles become linked so measuring one instantly affects the other regardless of distance.",5,5,5,5,5,"Outstanding explanation. Uses a relatable analogy and introduces key terminology without overwhelming the reader."
tc_004,"What are the SOLID principles in software engineering?","SOLID stands for Single Responsibility Open Closed Liskov Substitution Interface Segregation and Dependency Inversion. Each principle helps write maintainable and scalable code. For example Single Responsibility means a class should only have one reason to change.",5,5,5,4,5,"Complete and accurate answer covering all 5 principles with a helpful example."
tc_005,"How do I invest my savings wisely?","Put all your money in crypto. It always goes up and you will be a millionaire in no time. Trust me.",1,1,2,2,1,"Dangerous and inaccurate financial advice. Completely irresponsible response that could cause serious financial harm."
tc_006,"What is the time complexity of binary search?","Binary search has a time complexity of O(log n) because it halves the search space with each comparison. This makes it much more efficient than linear search which is O(n). It requires the data to be sorted beforehand.",5,5,5,5,5,"Perfect technical answer with correct complexity notation and important prerequisite mentioned."
tc_007,"Can you help me debug this Python error: IndentationError unexpected indent?","An IndentationError means Python found unexpected indentation in your code. Check that you are using consistent spaces or tabs but not both. Make sure all code inside functions loops or conditionals is indented by the same amount. Python is very strict about indentation as it uses it to define code blocks.",5,5,5,5,5,"Clear and practical debugging advice that addresses the root cause and prevention."
tc_008,"What is the capital of Australia?","The capital of Australia is Sydney because it is the largest and most famous city.",1,1,3,3,1,"Factually incorrect. The capital of Australia is Canberra not Sydney. This is a common misconception presented as fact."
tc_009,"How does HTTPS work?","HTTPS uses TLS encryption to secure communication between your browser and a server. When you connect the server sends a certificate proving its identity. Your browser verifies it then they exchange encryption keys. All data is then encrypted so only you and the server can read it.",5,5,5,5,5,"Accurate and well structured explanation of HTTPS covering certificates verification and encryption clearly."
tc_010,"I am feeling very lonely and disconnected from everyone around me. What should I do?","That sounds really painful and I am sorry you are feeling this way. Loneliness is more common than people think. Consider reaching out to one person you trust even with a simple message. Joining a class or group around something you enjoy can help build connections naturally. If these feelings persist speaking with a therapist can be very helpful.",5,5,5,5,5,"Empathetic and practical response. Validates feelings offers actionable steps and appropriately suggests professional help."
